yourlist:M20191118DA437993067D6F64326E5E763500BDED055040M	isomap:M20191118DA437993067D6F64326E5E763500BDED055040M	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
NM_002737		L7RSM7	L7RSM7_HUMAN	Protein kinase C (EC 2.7.11.13)	GO:0004697; GO:0005524; GO:0005829; GO:0005886; GO:0008270; GO:0035556	cytosol [GO:0005829]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein kinase C activity [GO:0004697]; zinc ion binding [GO:0008270]; intracellular signal transduction [GO:0035556]	PRKCA
NM_002737		P17252	KPCA_HUMAN	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	GO:0001525; GO:0001938; GO:0002159; GO:0004672; GO:0004674; GO:0004697; GO:0005178; GO:0005524; GO:0005654; GO:0005737; GO:0005739; GO:0005783; GO:0005829; GO:0005886; GO:0006468; GO:0007077; GO:0007155; GO:0007411; GO:0008270; GO:0010595; GO:0010613; GO:0018105; GO:0018107; GO:0019899; GO:0030168; GO:0030335; GO:0031666; GO:0031966; GO:0034351; GO:0035403; GO:0035408; GO:0035556; GO:0035866; GO:0038128; GO:0043488; GO:0043536; GO:0045651; GO:0045766; GO:0045780; GO:0045785; GO:0045931; GO:0048471; GO:0050796; GO:0070062; GO:0070374; GO:0070555; GO:0090330; GO:0097190; GO:0106071; GO:2000707	alphav-beta3 integrin-PKCalpha complex [GO:0035866]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; histone kinase activity (H3-T6 specific) [GO:0035403]; integrin binding [GO:0005178]; protein kinase activity [GO:0004672]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; angiogenesis [GO:0001525]; apoptotic signaling pathway [GO:0097190]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]; desmosome assembly [GO:0002159]; ERBB2 signaling pathway [GO:0038128]; histone H3-T6 phosphorylation [GO:0035408]; intracellular signal transduction [GO:0035556]; mitotic nuclear envelope disassembly [GO:0007077]; negative regulation of glial cell apoptotic process [GO:0034351]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; platelet activation [GO:0030168]; positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0106071]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of bone resorption [GO:0045780]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell migration [GO:0030335]; positive regulation of dense core granule biogenesis [GO:2000707]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of lipopolysaccharide-mediated signaling pathway [GO:0031666]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of mitotic cell cycle [GO:0045931]; protein phosphorylation [GO:0006468]; regulation of insulin secretion [GO:0050796]; regulation of mRNA stability [GO:0043488]; regulation of platelet aggregation [GO:0090330]; response to interleukin-1 [GO:0070555]	PRKCA PKCA PRKACA
NM_002737		Q7Z727	Q7Z727_HUMAN	PRKCA protein (Fragment)	GO:0035556; GO:0046872	metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	PRKCA
NM_004163		O00194	RB27B_HUMAN	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)	GO:0002576; GO:0003924; GO:0005525; GO:0005623; GO:0005770; GO:0005794; GO:0005795; GO:0005886; GO:0006886; GO:0016324; GO:0019003; GO:0019904; GO:0030140; GO:0030141; GO:0031088; GO:0031489; GO:0032402; GO:0032482; GO:0032585; GO:0042470; GO:0042589; GO:0045921; GO:0048488; GO:0070062; GO:0071985; GO:0098993; GO:0099641; GO:1904115	anchored component of synaptic vesicle membrane [GO:0098993]; apical plasma membrane [GO:0016324]; axon cytoplasm [GO:1904115]; cell [GO:0005623]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi stack [GO:0005795]; late endosome [GO:0005770]; melanosome [GO:0042470]; multivesicular body membrane [GO:0032585]; plasma membrane [GO:0005886]; platelet dense granule membrane [GO:0031088]; secretory granule [GO:0030141]; trans-Golgi network transport vesicle [GO:0030140]; zymogen granule membrane [GO:0042589]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; myosin V binding [GO:0031489]; protein domain specific binding [GO:0019904]; anterograde axonal protein transport [GO:0099641]; intracellular protein transport [GO:0006886]; melanosome transport [GO:0032402]; multivesicular body sorting pathway [GO:0071985]; platelet degranulation [GO:0002576]; positive regulation of exocytosis [GO:0045921]; Rab protein signal transduction [GO:0032482]; synaptic vesicle endocytosis [GO:0048488]	RAB27B
NM_032485		B4DN82	B4DN82_HUMAN	cDNA FLJ57869, highly similar to DNA replication licensing factor MCM8			
NM_032485	NM_032485 -> Q9UJA3-1	Q9UJA3	MCM8_HUMAN	DNA helicase MCM8 (EC 3.6.4.12) (Minichromosome maintenance 8)	GO:0000082; GO:0000724; GO:0003678; GO:0003682; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0005654; GO:0005694; GO:0005829; GO:0006260; GO:0006974; GO:0007292; GO:0019899; GO:0032406; GO:0032407; GO:0032408; GO:0036298; GO:0042555; GO:0048232; GO:0050821; GO:0071168; GO:0097362	chromosome [GO:0005694]; cytosol [GO:0005829]; MCM complex [GO:0042555]; MCM8-MCM9 complex [GO:0097362]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA helicase activity [GO:0003678]; DNA replication origin binding [GO:0003688]; enzyme binding [GO:0019899]; MutLbeta complex binding [GO:0032406]; MutSalpha complex binding [GO:0032407]; MutSbeta complex binding [GO:0032408]; single-stranded DNA binding [GO:0003697]; cellular response to DNA damage stimulus [GO:0006974]; DNA replication [GO:0006260]; double-strand break repair via homologous recombination [GO:0000724]; female gamete generation [GO:0007292]; G1/S transition of mitotic cell cycle [GO:0000082]; male gamete generation [GO:0048232]; protein localization to chromatin [GO:0071168]; protein stabilization [GO:0050821]; recombinational interstrand cross-link repair [GO:0036298]	MCM8 C20orf154
NM_003798		B3KMX6	B3KMX6_HUMAN	cDNA FLJ12864 fis, clone NT2RP2003604, highly similar to Alpha-catulin	GO:0007155; GO:0007266; GO:0045296; GO:0051015	actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; cell adhesion [GO:0007155]; Rho protein signal transduction [GO:0007266]	
NM_003798	NM_003798 -> Q9UBT7-1	Q9UBT7	CTNL1_HUMAN	Alpha-catulin (Alpha-catenin-related protein) (ACRP) (Catenin alpha-like protein 1)	GO:0005829; GO:0005856; GO:0005886; GO:0007155; GO:0007266; GO:0045296; GO:0051015	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; cell adhesion [GO:0007155]; Rho protein signal transduction [GO:0007266]	CTNNAL1
NM_001099286	NM_001099286 -> Q6P444-1	Q6P444	MTFR2_HUMAN	Mitochondrial fission regulator 2 (DUF729 domain-containing protein 1)	GO:0000266; GO:0005739; GO:0007005; GO:0009060	mitochondrion [GO:0005739]; aerobic respiration [GO:0009060]; mitochondrial fission [GO:0000266]; mitochondrion organization [GO:0007005]	MTFR2 DUFD1 FAM54A
NM_182513		Q8NBT2	SPC24_HUMAN	Kinetochore protein Spc24 (hSpc24)	GO:0000777; GO:0005654; GO:0005730; GO:0005829; GO:0007049; GO:0031262; GO:0051301	condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; Ndc80 complex [GO:0031262]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; cell cycle [GO:0007049]; cell division [GO:0051301]	SPC24 SPBC24
NM_006231		Q07864	DPOE1_HUMAN	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (DNA polymerase II subunit A)	GO:0000082; GO:0000166; GO:0000278; GO:0000731; GO:0003677; GO:0003682; GO:0003887; GO:0005634; GO:0005654; GO:0005886; GO:0006260; GO:0006270; GO:0006272; GO:0006287; GO:0006297; GO:0008270; GO:0008310; GO:0008622; GO:0032201; GO:0045004; GO:0048568; GO:0051539	epsilon DNA polymerase complex [GO:0008622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; single-stranded DNA 3'-5' exodeoxyribonuclease activity [GO:0008310]; zinc ion binding [GO:0008270]; base-excision repair, gap-filling [GO:0006287]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; DNA replication proofreading [GO:0045004]; DNA synthesis involved in DNA repair [GO:0000731]; embryonic organ development [GO:0048568]; G1/S transition of mitotic cell cycle [GO:0000082]; leading strand elongation [GO:0006272]; mitotic cell cycle [GO:0000278]; nucleotide-excision repair, DNA gap filling [GO:0006297]; telomere maintenance via semi-conservative replication [GO:0032201]	POLE POLE1
NM_031299		Q99618	CDCA3_HUMAN	Cell division cycle-associated protein 3 (Gene-rich cluster protein C8) (Trigger of mitotic entry protein 1) (TOME-1)	GO:0005829; GO:0005913; GO:0007049; GO:0016567; GO:0051301	cell-cell adherens junction [GO:0005913]; cytosol [GO:0005829]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein ubiquitination [GO:0016567]	CDCA3 C8 GRCC8 TOME1
NM_001031701	NM_001031701 -> Q86UY8-1	Q86UY8	NT5D3_HUMAN	5'-nucleotidase domain-containing protein 3 (EC 3.1.3.-) (GRP94-neighboring nucleotidase)	GO:0008253; GO:0043235; GO:0046872	receptor complex [GO:0043235]; 5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]	NT5DC3 GNN TU12B1-TY
NM_014586		P57058	HUNK_HUMAN	Hormonally up-regulated neu tumor-associated kinase (EC 2.7.11.1) (B19) (Serine/threonine-protein kinase MAK-V)	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0007165; GO:0007275; GO:0035556	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]	HUNK MAKV
NM_003924		Q99453	PHX2B_HUMAN	Paired mesoderm homeobox protein 2B (Neuroblastoma Phox) (NBPhox) (PHOX2B homeodomain protein) (Paired-like homeobox 2B)	GO:0000790; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0001764; GO:0002087; GO:0003357; GO:0003358; GO:0003360; GO:0005634; GO:0005654; GO:0007399; GO:0008285; GO:0010001; GO:0010468; GO:0010971; GO:0021533; GO:0021723; GO:0021934; GO:0035914; GO:0045665; GO:0045666; GO:0045944; GO:0048483; GO:0048484; GO:0048485; GO:0048486; GO:0048839; GO:0048894; GO:0060541; GO:0061452; GO:0061549; GO:0071157; GO:0071542; GO:0071773; GO:0120162; GO:1901166	nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; autonomic nervous system development [GO:0048483]; brainstem development [GO:0003360]; cell differentiation in hindbrain [GO:0021533]; cellular response to BMP stimulus [GO:0071773]; dopaminergic neuron differentiation [GO:0071542]; efferent axon development in a lateral line nerve [GO:0048894]; enteric nervous system development [GO:0048484]; glial cell differentiation [GO:0010001]; hindbrain tangential cell migration [GO:0021934]; inner ear development [GO:0048839]; medullary reticular formation development [GO:0021723]; negative regulation of cell cycle arrest [GO:0071157]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron differentiation [GO:0045665]; nervous system development [GO:0007399]; neural crest cell migration involved in autonomic nervous system development [GO:1901166]; neuron migration [GO:0001764]; noradrenergic neuron development [GO:0003358]; noradrenergic neuron differentiation [GO:0003357]; parasympathetic nervous system development [GO:0048486]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of gene expression [GO:0010468]; regulation of respiratory gaseous exchange by nervous system process [GO:0002087]; respiratory system development [GO:0060541]; retrotrapezoid nucleus neuron differentiation [GO:0061452]; skeletal muscle cell differentiation [GO:0035914]; sympathetic ganglion development [GO:0061549]; sympathetic nervous system development [GO:0048485]	PHOX2B PMX2B
NM_002592		P12004	PCNA_HUMAN	Proliferating cell nuclear antigen (PCNA) (Cyclin)	GO:0000083; GO:0000122; GO:0000307; GO:0000701; GO:0000723; GO:0000784; GO:0000785; GO:0003682; GO:0003684; GO:0005634; GO:0005652; GO:0005654; GO:0005657; GO:0005813; GO:0006272; GO:0006283; GO:0006287; GO:0006296; GO:0006297; GO:0006298; GO:0006977; GO:0007507; GO:0016032; GO:0016567; GO:0016604; GO:0019899; GO:0019985; GO:0030331; GO:0030337; GO:0030855; GO:0030894; GO:0030971; GO:0031297; GO:0032077; GO:0032139; GO:0032201; GO:0032355; GO:0032405; GO:0033683; GO:0034644; GO:0035035; GO:0042276; GO:0042769; GO:0042802; GO:0043596; GO:0043626; GO:0044849; GO:0045739; GO:0045740; GO:0046686; GO:0070062; GO:0070182; GO:0070301; GO:0070557; GO:0070987; GO:0071466; GO:0071548; GO:0097421; GO:1902065; GO:1902990	centrosome [GO:0005813]; chromatin [GO:0000785]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; extracellular exosome [GO:0070062]; nuclear body [GO:0016604]; nuclear chromosome, telomeric region [GO:0000784]; nuclear lamina [GO:0005652]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PCNA complex [GO:0043626]; PCNA-p21 complex [GO:0070557]; replication fork [GO:0005657]; replisome [GO:0030894]; chromatin binding [GO:0003682]; damaged DNA binding [GO:0003684]; dinucleotide insertion or deletion binding [GO:0032139]; DNA polymerase binding [GO:0070182]; DNA polymerase processivity factor activity [GO:0030337]; enzyme binding [GO:0019899]; estrogen receptor binding [GO:0030331]; histone acetyltransferase binding [GO:0035035]; identical protein binding [GO:0042802]; MutLalpha complex binding [GO:0032405]; purine-specific mismatch base pair DNA N-glycosylase activity [GO:0000701]; receptor tyrosine kinase binding [GO:0030971]; base-excision repair, gap-filling [GO:0006287]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to UV [GO:0034644]; cellular response to xenobiotic stimulus [GO:0071466]; DNA damage response, detection of DNA damage [GO:0042769]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; epithelial cell differentiation [GO:0030855]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; estrous cycle [GO:0044849]; heart development [GO:0007507]; leading strand elongation [GO:0006272]; liver regeneration [GO:0097421]; mismatch repair [GO:0006298]; mitotic telomere maintenance via semi-conservative replication [GO:1902990]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nucleotide-excision repair, DNA gap filling [GO:0006297]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; positive regulation of deoxyribonuclease activity [GO:0032077]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA replication [GO:0045740]; protein ubiquitination [GO:0016567]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; replication fork processing [GO:0031297]; response to cadmium ion [GO:0046686]; response to dexamethasone [GO:0071548]; response to estradiol [GO:0032355]; response to L-glutamate [GO:1902065]; telomere maintenance [GO:0000723]; telomere maintenance via semi-conservative replication [GO:0032201]; transcription-coupled nucleotide-excision repair [GO:0006283]; translesion synthesis [GO:0019985]; viral process [GO:0016032]	PCNA
NM_014900	NM_014900 -> Q53SF7-3	Q53SF7	COBL1_HUMAN	Cordon-bleu protein-like 1	GO:0003785; GO:0045296; GO:0070062	extracellular exosome [GO:0070062]; actin monomer binding [GO:0003785]; cadherin binding [GO:0045296]	COBLL1 KIAA0977
NM_004982		A0A024RAV6	A0A024RAV6_HUMAN	Potassium inwardly-rectifying channel, subfamily J, member 8, isoform CRA_a	GO:0001822; GO:0005524; GO:0005739; GO:0007507; GO:0008282; GO:0015272; GO:0017098; GO:0030016; GO:0032496; GO:0034765; GO:0042383; GO:0043330; GO:0051607; GO:1990573	inward rectifying potassium channel [GO:0008282]; mitochondrion [GO:0005739]; myofibril [GO:0030016]; sarcolemma [GO:0042383]; ATP binding [GO:0005524]; ATP-activated inward rectifier potassium channel activity [GO:0015272]; sulfonylurea receptor binding [GO:0017098]; defense response to virus [GO:0051607]; heart development [GO:0007507]; kidney development [GO:0001822]; potassium ion import across plasma membrane [GO:1990573]; regulation of ion transmembrane transport [GO:0034765]; response to exogenous dsRNA [GO:0043330]; response to lipopolysaccharide [GO:0032496]	KCNJ8 hCG_1811070
NM_004982		Q15842	KCNJ8_HUMAN	ATP-sensitive inward rectifier potassium channel 8 (Inward rectifier K(+) channel Kir6.1) (Potassium channel, inwardly rectifying subfamily J member 8) (uKATP-1)	GO:0005242; GO:0005886; GO:0006813; GO:0008076; GO:0015272; GO:0034765; GO:0098915; GO:1902282; GO:1990573	plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]; ATP-activated inward rectifier potassium channel activity [GO:0015272]; inward rectifier potassium channel activity [GO:0005242]; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization [GO:1902282]; membrane repolarization during ventricular cardiac muscle cell action potential [GO:0098915]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transport [GO:0006813]; regulation of ion transmembrane transport [GO:0034765]	KCNJ8
NM_194298		Q7RTY1	MOT9_HUMAN	Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9)	GO:0005887; GO:0008028; GO:0015293; GO:0046415	integral component of plasma membrane [GO:0005887]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]; urate metabolic process [GO:0046415]	SLC16A9 C10orf36 MCT9
NM_002388		A0A0S2Z4T1	A0A0S2Z4T1_HUMAN	DNA helicase (EC 3.6.4.12) (Fragment)	GO:0003677; GO:0003678; GO:0005524; GO:0005654; GO:0005813; GO:0006270; GO:0042555	centrosome [GO:0005813]; MCM complex [GO:0042555]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication initiation [GO:0006270]	MCM3
NM_002388	NM_002388 -> P25205-1	P25205	MCM3_HUMAN	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102)	GO:0000082; GO:0000727; GO:0000784; GO:0003677; GO:0003678; GO:0003688; GO:0003697; GO:0005524; GO:0005634; GO:0005654; GO:0005658; GO:0005813; GO:0006260; GO:0006267; GO:0006270; GO:0006271; GO:0016020; GO:0042555; GO:0048471; GO:1902975	alpha DNA polymerase:primase complex [GO:0005658]; centrosome [GO:0005813]; MCM complex [GO:0042555]; membrane [GO:0016020]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; DNA strand elongation involved in DNA replication [GO:0006271]; double-strand break repair via break-induced replication [GO:0000727]; G1/S transition of mitotic cell cycle [GO:0000082]; mitotic DNA replication initiation [GO:1902975]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]	MCM3
NM_003513		P04908	H2A1B_HUMAN	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)	GO:0000786; GO:0000790; GO:0003677; GO:0005634; GO:0006325; GO:0008285; GO:0046982; GO:0070062	extracellular exosome [GO:0070062]; nuclear chromatin [GO:0000790]; nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; chromatin organization [GO:0006325]; negative regulation of cell population proliferation [GO:0008285]	H2AC4 H2AFM HIST1H2AB; H2AC8 H2AFA HIST1H2AE
NM_003513		Q08AJ9	Q08AJ9_HUMAN	Histone H2A	GO:0000786; GO:0003677; GO:0005634; GO:0046982	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	HIST1H2AB HIST1H2AE hCG_1640984 hCG_1787383
NM_005077		Q04724	TLE1_HUMAN	Transducin-like enhancer protein 1 (E(Sp1) homolog) (Enhancer of split groucho-like protein 1) (ESG1)	GO:0003714; GO:0005634; GO:0005654; GO:0005667; GO:0005829; GO:0007165; GO:0007275; GO:0008134; GO:0009887; GO:0010628; GO:0016055; GO:0030178; GO:0042802; GO:0043124; GO:0045892; GO:0070491; GO:0090090; GO:1904837; GO:1990907; GO:2000811	beta-catenin-TCF complex [GO:1990907]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]; identical protein binding [GO:0042802]; repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; animal organ morphogenesis [GO:0009887]; beta-catenin-TCF complex assembly [GO:1904837]; multicellular organism development [GO:0007275]; negative regulation of anoikis [GO:2000811]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of gene expression [GO:0010628]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]	TLE1
NM_005077		Q59EF7	Q59EF7_HUMAN	Transducin-like enhancer protein 1 variant (Fragment)	GO:0005634; GO:0006355	nucleus [GO:0005634]; regulation of transcription, DNA-templated [GO:0006355]	
NM_152446	NM_152446 -> Q6ZU80-2	Q6ZU80	CE128_HUMAN	Centrosomal protein of 128 kDa (Cep128)	GO:0000922; GO:0005737; GO:0005814; GO:0008104; GO:0120103	centriolar subdistal appendage [GO:0120103]; centriole [GO:0005814]; cytoplasm [GO:0005737]; spindle pole [GO:0000922]; protein localization [GO:0008104]	CEP128 C14orf145 C14orf61
NM_152446		Q86TS1	Q86TS1_HUMAN	Centrosomal protein of 128 kDa (Full-length cDNA 5-PRIME end of clone CS0CAP003YE19 of Thymus of Homo sapiens (human)) (Fragment)			CEP128
NM_024857	NM_024857 -> Q96QE3-1	Q96QE3	ATAD5_HUMAN	ATPase family AAA domain-containing protein 5 (Chromosome fragility-associated gene 1 protein)	GO:0003677; GO:0005524; GO:0005634; GO:0030890; GO:0031391; GO:0033260; GO:0042100; GO:0042770; GO:0042771; GO:0045190; GO:0045740; GO:0048304; GO:0061860; GO:0090305; GO:0090618; GO:1901990; GO:1902166; GO:1902751	Elg1 RFC-like complex [GO:0031391]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA clamp unloader activity [GO:0061860]; B cell proliferation [GO:0042100]; DNA clamp unloading [GO:0090618]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; isotype switching [GO:0045190]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; nuclear DNA replication [GO:0033260]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell cycle G2/M phase transition [GO:1902751]; positive regulation of DNA replication [GO:0045740]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; regulation of mitotic cell cycle phase transition [GO:1901990]; signal transduction in response to DNA damage [GO:0042770]	ATAD5 C17orf41 FRAG1
NM_003667		A0A0A8K8C7	A0A0A8K8C7_HUMAN	G protein-coupled receptor 49 (Leucine-rich repeat-containing G protein-coupled receptor 5, isoform CRA_b)	GO:0001942; GO:0004930; GO:0009994; GO:0016021; GO:0016500; GO:0042127; GO:0048839; GO:0090263; GO:2001013	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; protein-hormone receptor activity [GO:0016500]; epithelial cell proliferation involved in renal tubule morphogenesis [GO:2001013]; hair follicle development [GO:0001942]; inner ear development [GO:0048839]; oocyte differentiation [GO:0009994]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; regulation of cell population proliferation [GO:0042127]	GPR49 LGR5 hCG_23766
NM_003667	NM_003667 -> O75473-1	O75473	LGR5_HUMAN	Leucine-rich repeat-containing G-protein coupled receptor 5 (G-protein coupled receptor 49) (G-protein coupled receptor 67) (G-protein coupled receptor HG38)	GO:0001942; GO:0004888; GO:0004930; GO:0005886; GO:0005887; GO:0007186; GO:0007189; GO:0007190; GO:0008528; GO:0009755; GO:0009994; GO:0016500; GO:0032588; GO:0042127; GO:0048839; GO:0090263; GO:2001013	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; protein-hormone receptor activity [GO:0016500]; transmembrane signaling receptor activity [GO:0004888]; activation of adenylate cyclase activity [GO:0007190]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; epithelial cell proliferation involved in renal tubule morphogenesis [GO:2001013]; G protein-coupled receptor signaling pathway [GO:0007186]; hair follicle development [GO:0001942]; hormone-mediated signaling pathway [GO:0009755]; inner ear development [GO:0048839]; oocyte differentiation [GO:0009994]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; regulation of cell population proliferation [GO:0042127]	LGR5 GPR49 GPR67
