Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
A0A1S3L9X5	A0A1S3L9X5_SALSA	solute carrier family 2, facilitated glucose transporter member 11 isoform X1	GO:0008643; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; carbohydrate transport [GO:0008643]	gtr11
A0A1S3L9Y7	A0A1S3L9Y7_SALSA	solute carrier family 2, facilitated glucose transporter member 11 isoform X2	GO:0008643; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; carbohydrate transport [GO:0008643]	gtr11
B5X3Z7	B5X3Z7_SALSA	Solute carrier family 2, facilitated glucose transporter member 11	GO:0008643; GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; carbohydrate transport [GO:0008643]	GTR11 gtr11
A0A1S3LAG9	A0A1S3LAG9_SALSA	protransforming growth factor alpha-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106565349
A0A1S3LBC9	A0A1S3LBC9_SALSA	putative deoxyribonuclease TATDN2	GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]	tatdn2
A0A1S3LBX1	A0A1S3LBX1_SALSA	cadherin EGF LAG seven-pass G-type receptor 2-like isoform X4	GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007166; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106565652
A0A1S3LBX7	A0A1S3LBX7_SALSA	cadherin EGF LAG seven-pass G-type receptor 2-like isoform X5	GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007166; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106565652
A0A1S3LBX9	A0A1S3LBX9_SALSA	cadherin EGF LAG seven-pass G-type receptor 2-like isoform X3	GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007166; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106565652
A0A1S3LC95	A0A1S3LC95_SALSA	cadherin EGF LAG seven-pass G-type receptor 2-like isoform X2	GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007166; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106565652
A0A1S3LD88	A0A1S3LD88_SALSA	cadherin EGF LAG seven-pass G-type receptor 2-like isoform X1	GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007166; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106565652
A0A1S3LBT5	A0A1S3LBT5_SALSA	solute carrier family 45 member 3-like	GO:0005887; GO:0055085	integral component of plasma membrane [GO:0005887]; transmembrane transport [GO:0055085]	LOC106565632
A0A1S3LE35	A0A1S3LE35_SALSA	serine-rich adhesin for platelets-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106565917
A0A1S3LDE3	A0A1S3LDE3_SALSA	complement decay-accelerating factor-like isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106565874
A0A1S3LDF2	A0A1S3LDF2_SALSA	complement decay-accelerating factor-like isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106565874
A0A1S3LDS8	A0A1S3LDS8_SALSA	complement decay-accelerating factor-like isoform X4	GO:0016021	integral component of membrane [GO:0016021]	LOC106565874
A0A1S3LEQ3	A0A1S3LEQ3_SALSA	complement decay-accelerating factor-like isoform X3	GO:0016021	integral component of membrane [GO:0016021]	LOC106565874
A0A1S3LD30	A0A1S3LD30_SALSA	inter-alpha-trypsin inhibitor heavy chain H3-like isoform X1	GO:0004867; GO:0030212	serine-type endopeptidase inhibitor activity [GO:0004867]; hyaluronan metabolic process [GO:0030212]	LOC106565822
A0A1S3LED4	A0A1S3LED4_SALSA	inter-alpha-trypsin inhibitor heavy chain H3-like isoform X2	GO:0004867; GO:0030212	serine-type endopeptidase inhibitor activity [GO:0004867]; hyaluronan metabolic process [GO:0030212]	LOC106565822
A0A1S3LCY2	A0A1S3LCY2_SALSA	opioid growth factor receptor-like isoform X3	GO:0004985; GO:0016020	membrane [GO:0016020]; opioid receptor activity [GO:0004985]	LOC106565797
A0A1S3LCY6	A0A1S3LCY6_SALSA	opioid growth factor receptor-like isoform X2	GO:0004985; GO:0016020	membrane [GO:0016020]; opioid receptor activity [GO:0004985]	LOC106565797
A0A1S3LDB0	A0A1S3LDB0_SALSA	opioid growth factor receptor-like isoform X1	GO:0004985; GO:0016020	membrane [GO:0016020]; opioid receptor activity [GO:0004985]	LOC106565797
A0A1S3LDS5	A0A1S3LDS5_SALSA	gamma-glutamyltransferase 7-like isoform X2	GO:0006751; GO:0016021; GO:0016740; GO:0036374	integral component of membrane [GO:0016021]; glutathione hydrolase activity [GO:0036374]; transferase activity [GO:0016740]; glutathione catabolic process [GO:0006751]	LOC106565945
A0A1S3LE56	A0A1S3LE56_SALSA	gamma-glutamyltransferase 7-like isoform X1	GO:0006751; GO:0016021; GO:0016740; GO:0036374	integral component of membrane [GO:0016021]; glutathione hydrolase activity [GO:0036374]; transferase activity [GO:0016740]; glutathione catabolic process [GO:0006751]	LOC106565945
A0A1S3LDN5	A0A1S3LDN5_SALSA	uncharacterized protein LOC106565721			LOC106565721
A0A1S3LF62	A0A1S3LF62_SALSA	transmembrane protein 51-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106565967
A0A1S3LE46	A0A1S3LE46_SALSA	hepatocyte growth factor-like protein isoform X2	GO:0004252	serine-type endopeptidase activity [GO:0004252]	LOC106566001
A0A1S3LE48	A0A1S3LE48_SALSA	hepatocyte growth factor-like protein isoform X1	GO:0004252	serine-type endopeptidase activity [GO:0004252]	LOC106566001
A0A1S3LE51	A0A1S3LE51_SALSA	rho guanine nucleotide exchange factor 19-like	GO:0005089; GO:0035023	Rho guanyl-nucleotide exchange factor activity [GO:0005089]; regulation of Rho protein signal transduction [GO:0035023]	LOC106566004
A0A1S3LED5	A0A1S3LED5_SALSA	Tetraspanin	GO:0016021	integral component of membrane [GO:0016021]	LOC106566039
A0A1S3LER2	A0A1S3LER2_SALSA	plakophilin-1-like isoform X2	GO:0005634; GO:0030057; GO:0098609	desmosome [GO:0030057]; nucleus [GO:0005634]; cell-cell adhesion [GO:0098609]	LOC106566027
A0A1S3LFK0	A0A1S3LFK0_SALSA	plakophilin-1-like isoform X1	GO:0005634; GO:0030057; GO:0098609	desmosome [GO:0030057]; nucleus [GO:0005634]; cell-cell adhesion [GO:0098609]	LOC106566027
A0A1S3LER5	A0A1S3LER5_SALSA	inhibin beta B chain-like	GO:0005576; GO:0008083	extracellular region [GO:0005576]; growth factor activity [GO:0008083]	LOC106566127
A0A1S3LF72	A0A1S3LF72_SALSA	O-acyltransferase	GO:0005789; GO:0008374; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; O-acyltransferase activity [GO:0008374]	LOC106566146
A0A1S3LG18	A0A1S3LG18_SALSA	O-acyltransferase	GO:0005789; GO:0008374; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; O-acyltransferase activity [GO:0008374]	LOC106566146
A0A1S3LEW0	A0A1S3LEW0_SALSA	retinol dehydrogenase 7-like isoform X2	GO:0016021; GO:0016491	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	LOC106566157
A0A1S3LF87	A0A1S3LF87_SALSA	retinol dehydrogenase 7-like isoform X1	GO:0016021; GO:0016491	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	LOC106566157
A0A1S3LEY3	A0A1S3LEY3_SALSA	cell division cycle-associated protein 7-like isoform X2	GO:0006355; GO:0042127; GO:0051301	cell division [GO:0051301]; regulation of cell population proliferation [GO:0042127]; regulation of transcription, DNA-templated [GO:0006355]	LOC106566175
A0A1S3LEY7	A0A1S3LEY7_SALSA	cell division cycle-associated protein 7-like isoform X1	GO:0006355; GO:0042127; GO:0051301	cell division [GO:0051301]; regulation of cell population proliferation [GO:0042127]; regulation of transcription, DNA-templated [GO:0006355]	LOC106566175
A0A1S3LEZ1	A0A1S3LEZ1_SALSA	transcription factor Sp7	GO:0003676	nucleic acid binding [GO:0003676]	sp7
A0A1S3LFC7	A0A1S3LFC7_SALSA	immunoglobulin superfamily member 8-like			LOC106566181
A0A1S3LFG7	A0A1S3LFG7_SALSA	complement C1q-like protein 2			LOC106566219
A0A1S3LGB9	A0A1S3LGB9_SALSA	LIM and cysteine-rich domains protein 1-like	GO:0008270	zinc ion binding [GO:0008270]	LOC106566223
A0A1S3LHF2	A0A1S3LHF2_SALSA	perforin-1-like			LOC106566444
A0A1S3LGF6	A0A1S3LGF6_SALSA	extracellular sulfatase Sulf-2-like	GO:0008484	sulfuric ester hydrolase activity [GO:0008484]	LOC106566486
A0A1S3LGM9	A0A1S3LGM9_SALSA	complement C1q tumor necrosis factor-related protein 3-like			LOC106566534
A0A1S3LH46	A0A1S3LH46_SALSA	protein snail homolog Sna-like isoform X2	GO:0003676	nucleic acid binding [GO:0003676]	LOC106566562
A0A1S3LHZ5	A0A1S3LHZ5_SALSA	protein snail homolog Sna-like isoform X1	GO:0003676	nucleic acid binding [GO:0003676]	LOC106566562
A0A1S3LHI4	A0A1S3LHI4_SALSA	poly(RC)-binding protein 4-like isoform X4	GO:0003723	RNA binding [GO:0003723]	LOC106566672
A0A1S3LHI5	A0A1S3LHI5_SALSA	poly(RC)-binding protein 4-like isoform X2	GO:0003723	RNA binding [GO:0003723]	LOC106566672
A0A1S3LHI6	A0A1S3LHI6_SALSA	poly(RC)-binding protein 4-like isoform X1	GO:0003723	RNA binding [GO:0003723]	LOC106566672
A0A1S3LHJ1	A0A1S3LHJ1_SALSA	poly(RC)-binding protein 4-like isoform X5	GO:0003723	RNA binding [GO:0003723]	LOC106566672
A0A1S3LIP4	A0A1S3LIP4_SALSA	poly(RC)-binding protein 4-like isoform X3	GO:0003723	RNA binding [GO:0003723]	LOC106566672
A0A1S3LH39	A0A1S3LH39_SALSA	Sulfotransferase (EC 2.8.2.-)	GO:0008146	sulfotransferase activity [GO:0008146]	st2s2
B5X695	B5X695_SALSA	Sulfotransferase (EC 2.8.2.-)	GO:0008146	sulfotransferase activity [GO:0008146]	ST2S2 st2s2
A0A1S3LHA6	A0A1S3LHA6_SALSA	proline-rich transmembrane protein 3-like isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106566637
A0A1S3LHL3	A0A1S3LHL3_SALSA	proline-rich transmembrane protein 3-like isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106566637
A0A1S3LHY7	A0A1S3LHY7_SALSA	Proteasome subunit alpha type (EC 3.4.25.1)	GO:0004298; GO:0005634; GO:0005737; GO:0006511; GO:0019773	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]	psma7
A0A1S3LHY9	A0A1S3LHY9_SALSA	Proteasome subunit alpha type (EC 3.4.25.1)	GO:0004298; GO:0005634; GO:0005737; GO:0006511; GO:0019773	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]	psma7
B5XF14	B5XF14_SALSA	Proteasome subunit alpha type (EC 3.4.25.1)	GO:0004298; GO:0005634; GO:0005737; GO:0006511; GO:0019773	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]	PSA7 psma7
A0A1S3LHY4	A0A1S3LHY4_SALSA	protein LSM14 homolog B			lsm14b
A0A1S3LI42	A0A1S3LI42_SALSA	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	GO:0000139; GO:0006486; GO:0016021; GO:0016757; GO:0030246	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; transferase activity, transferring glycosyl groups [GO:0016757]; protein glycosylation [GO:0006486]	LOC106566716
A0A1S3LJC0	A0A1S3LJC0_SALSA	Hexosyltransferase (EC 2.4.1.-)	GO:0000139; GO:0006486; GO:0008378; GO:0016021	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; galactosyltransferase activity [GO:0008378]; protein glycosylation [GO:0006486]	LOC106566770
A0A1S3LIW3	A0A1S3LIW3_SALSA	Biglycan			LOC106566838
A0A1S3LII4	A0A1S3LII4_SALSA	properdin-like			LOC106566833
A0A1S3LIF9	A0A1S3LIF9_SALSA	short-chain dehydrogenase/reductase 3-like	GO:0004745; GO:0016021; GO:0042572	integral component of membrane [GO:0016021]; retinol dehydrogenase activity [GO:0004745]; retinol metabolic process [GO:0042572]	LOC106566814
A0A1S3LIE5	A0A1S3LIE5_SALSA	intermediate filament family orphan 2-like isoform X2	GO:0005882	intermediate filament [GO:0005882]	LOC106566805
A0A1S3LIN4	A0A1S3LIN4_SALSA	intermediate filament family orphan 2-like isoform X1	GO:0005882	intermediate filament [GO:0005882]	LOC106566805
A0A1S3LJK3	A0A1S3LJK3_SALSA	Tyrosine-protein kinase (EC 2.7.10.2)	GO:0004715; GO:0005524	ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]	LOC106566804
A0A1S3LJE2	A0A1S3LJE2_SALSA	serine/threonine-protein kinase 35-like	GO:0004674; GO:0005524	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	LOC106566942
A0A1S3LJH4	A0A1S3LJH4_SALSA	angiopoietin-related protein 7-like			LOC106566950
A0A1S3LJL6	A0A1S3LJL6_SALSA	keratin, type II cytoskeletal cochleal-like	GO:0045095	keratin filament [GO:0045095]	LOC106566974
A0A1S3LJQ7	A0A1S3LJQ7_SALSA	probable E3 ubiquitin-protein ligase makorin-2 isoform X3	GO:0046872	metal ion binding [GO:0046872]	LOC106566991
A0A1S3LJQ8	A0A1S3LJQ8_SALSA	probable E3 ubiquitin-protein ligase makorin-2 isoform X4	GO:0046872	metal ion binding [GO:0046872]	LOC106566991
A0A1S3LJX1	A0A1S3LJX1_SALSA	probable E3 ubiquitin-protein ligase makorin-2 isoform X2	GO:0046872	metal ion binding [GO:0046872]	LOC106566991
A0A1S3LK27	A0A1S3LK27_SALSA	probable E3 ubiquitin-protein ligase makorin-2 isoform X1	GO:0046872	metal ion binding [GO:0046872]	LOC106566991
A0A1S3LK81	A0A1S3LK81_SALSA	rho-related GTP-binding protein Rho6-like	GO:0003924; GO:0005525; GO:0007264	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase mediated signal transduction [GO:0007264]	LOC106567010
A0A1S3LKF7	A0A1S3LKF7_SALSA	hepatocyte nuclear factor 4-alpha-like isoform X1	GO:0003323; GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565; GO:0050796; GO:0055088; GO:0070365	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; hepatocyte differentiation [GO:0070365]; lipid homeostasis [GO:0055088]; regulation of insulin secretion [GO:0050796]; type B pancreatic cell development [GO:0003323]	LOC106567096
A0A1S3LKG9	A0A1S3LKG9_SALSA	hepatocyte nuclear factor 4-alpha-like isoform X4	GO:0003323; GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565; GO:0050796; GO:0055088; GO:0070365	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; hepatocyte differentiation [GO:0070365]; lipid homeostasis [GO:0055088]; regulation of insulin secretion [GO:0050796]; type B pancreatic cell development [GO:0003323]	LOC106567096
A0A1S3LKT7	A0A1S3LKT7_SALSA	hepatocyte nuclear factor 4-alpha-like isoform X3	GO:0003323; GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565; GO:0050796; GO:0055088; GO:0070365	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; hepatocyte differentiation [GO:0070365]; lipid homeostasis [GO:0055088]; regulation of insulin secretion [GO:0050796]; type B pancreatic cell development [GO:0003323]	LOC106567096
A0A1S3LLR8	A0A1S3LLR8_SALSA	hepatocyte nuclear factor 4-alpha-like isoform X2	GO:0003323; GO:0003700; GO:0003707; GO:0005634; GO:0008270; GO:0043565; GO:0050796; GO:0055088; GO:0070365	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; hepatocyte differentiation [GO:0070365]; lipid homeostasis [GO:0055088]; regulation of insulin secretion [GO:0050796]; type B pancreatic cell development [GO:0003323]	LOC106567096
A0A1S3LKL3	A0A1S3LKL3_SALSA	sal-like protein 4 isoform X2	GO:0003676	nucleic acid binding [GO:0003676]	LOC106567117
A0A1S3LKS6	A0A1S3LKS6_SALSA	sal-like protein 4 isoform X1	GO:0003676	nucleic acid binding [GO:0003676]	LOC106567117
A0A1S3LL18	A0A1S3LL18_SALSA	zinc transporter ZIP5-like isoform X1	GO:0016021; GO:0046873	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]	LOC106567179
A0A1S3LMB6	A0A1S3LMB6_SALSA	zinc transporter ZIP5-like isoform X2	GO:0016021; GO:0046873	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]	LOC106567179
C0H9A7	C0H9A7_SALSA	Solute carrier family 13 member 3	GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	S13A3 slc13a3
A0A1S3LLL5	A0A1S3LLL5_SALSA	double-strand-break repair protein rad21 homolog	GO:0007062; GO:0008278	cohesin complex [GO:0008278]; sister chromatid cohesion [GO:0007062]	LOC106567227
A0A1S3LLJ3	A0A1S3LLJ3_SALSA	acidic mammalian chitinase-like isoform X2	GO:0004553; GO:0005576; GO:0005975; GO:0006030; GO:0008061	extracellular region [GO:0005576]; chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]; chitin metabolic process [GO:0006030]	LOC106567267
A0A1S3LLT2	A0A1S3LLT2_SALSA	acidic mammalian chitinase-like isoform X1	GO:0004553; GO:0005576; GO:0005975; GO:0006030; GO:0008061	extracellular region [GO:0005576]; chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]; chitin metabolic process [GO:0006030]	LOC106567267
A0A1S3LLX9	A0A1S3LLX9_SALSA	MORN repeat-containing protein 1 isoform X4			morn1
A0A1S3LLZ0	A0A1S3LLZ0_SALSA	MORN repeat-containing protein 1 isoform X3			morn1
A0A1S3LM78	A0A1S3LM78_SALSA	MORN repeat-containing protein 1 isoform X2			morn1
A0A1S3LMB3	A0A1S3LMB3_SALSA	MORN repeat-containing protein 1 isoform X1			morn1
A0A1S3LN75	A0A1S3LN75_SALSA	MORN repeat-containing protein 1 isoform X5			morn1
A0A1S3LMX0	A0A1S3LMX0_SALSA	T-cell immunoglobulin and mucin domain-containing protein 4-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106567480
A0A1S3LMP3	A0A1S3LMP3_SALSA	transcription factor SOX-30-like	GO:0003677; GO:0005634	nucleus [GO:0005634]; DNA binding [GO:0003677]	LOC106567484
A0A1S3LNP1	A0A1S3LNP1_SALSA	forkhead box protein N5-like isoform X2	GO:0003700; GO:0005634; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	LOC106567616
A0A1S3LNR5	A0A1S3LNR5_SALSA	forkhead box protein N5-like isoform X1	GO:0003700; GO:0005634; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	LOC106567616
A0A1S3LNI4	A0A1S3LNI4_SALSA	glutamate receptor 4 isoform X3	GO:0004970; GO:0016021; GO:0030054; GO:0045211	cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]	LOC106567580
A0A1S3LNK9	A0A1S3LNK9_SALSA	glutamate receptor 4 isoform X2	GO:0004970; GO:0016021; GO:0030054; GO:0045211	cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]	LOC106567580
A0A1S3LNT5	A0A1S3LNT5_SALSA	glutamate receptor 4 isoform X1	GO:0004970; GO:0016021; GO:0030054; GO:0045211	cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]	LOC106567580
A0A1S3LNU0	A0A1S3LNU0_SALSA	glutamate receptor 4 isoform X6	GO:0016021	integral component of membrane [GO:0016021]	LOC106567580
A0A1S3LNY0	A0A1S3LNY0_SALSA	glutamate receptor 4 isoform X5	GO:0004970; GO:0016021; GO:0030054; GO:0045211	cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]	LOC106567580
A0A1S3LPQ0	A0A1S3LPQ0_SALSA	glutamate receptor 4 isoform X4	GO:0004970; GO:0016021; GO:0030054; GO:0045211	cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; ionotropic glutamate receptor activity [GO:0004970]	LOC106567580
B5X4Q3	B5X4Q3_SALSA	Transporter	GO:0005328; GO:0016021	integral component of membrane [GO:0016021]; neurotransmitter:sodium symporter activity [GO:0005328]	S6A13 LOC106567643
A0A1S3LP58	A0A1S3LP58_SALSA	ATP-sensitive inward rectifier potassium channel 15-like	GO:0005242; GO:0016021; GO:0034765	integral component of membrane [GO:0016021]; inward rectifier potassium channel activity [GO:0005242]; regulation of ion transmembrane transport [GO:0034765]	LOC106567683
A0A1S3LNX7	A0A1S3LNX7_SALSA	syntaxin-1A isoform X1	GO:0000149; GO:0005484; GO:0006886; GO:0016021; GO:0016192; GO:0017157	integral component of membrane [GO:0016021]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; intracellular protein transport [GO:0006886]; regulation of exocytosis [GO:0017157]; vesicle-mediated transport [GO:0016192]	LOC106567662
A0A1S3LP92	A0A1S3LP92_SALSA	syntaxin-1A isoform X4	GO:0000149; GO:0005484; GO:0006886; GO:0016021; GO:0016192; GO:0017157	integral component of membrane [GO:0016021]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; intracellular protein transport [GO:0006886]; regulation of exocytosis [GO:0017157]; vesicle-mediated transport [GO:0016192]	LOC106567662
A0A1S3LPD1	A0A1S3LPD1_SALSA	syntaxin-1A isoform X3	GO:0000149; GO:0005484; GO:0006886; GO:0016021; GO:0016192; GO:0017157	integral component of membrane [GO:0016021]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; intracellular protein transport [GO:0006886]; regulation of exocytosis [GO:0017157]; vesicle-mediated transport [GO:0016192]	LOC106567662
A0A1S3LQ36	A0A1S3LQ36_SALSA	syntaxin-1A isoform X2	GO:0000149; GO:0005484; GO:0006886; GO:0016021; GO:0016192; GO:0017157	integral component of membrane [GO:0016021]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; intracellular protein transport [GO:0006886]; regulation of exocytosis [GO:0017157]; vesicle-mediated transport [GO:0016192]	LOC106567662
A0A1S3LR85	A0A1S3LR85_SALSA	spermatogenesis-associated protein 22-like isoform X2	GO:0000711; GO:0007129; GO:0007276	gamete generation [GO:0007276]; meiotic DNA repair synthesis [GO:0000711]; synapsis [GO:0007129]	LOC106567971
A0A1S3LRC5	A0A1S3LRC5_SALSA	spermatogenesis-associated protein 22-like isoform X1	GO:0000711; GO:0007129; GO:0007276	gamete generation [GO:0007276]; meiotic DNA repair synthesis [GO:0000711]; synapsis [GO:0007129]	LOC106567971
A0A1S3LR04	A0A1S3LR04_SALSA	transmembrane protein 211-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106567973
A0A1S3LR64	A0A1S3LR64_SALSA	Transgelin			LOC106567831
B5X7F2	B5X7F2_SALSA	Transgelin			TAGL LOC106567831
A0A1S3LRM5	A0A1S3LRM5_SALSA	nectin-3-like protein	GO:0005911; GO:0007155; GO:0007286; GO:0016021; GO:0042803; GO:0050839	cell-cell junction [GO:0005911]; integral component of membrane [GO:0016021]; cell adhesion molecule binding [GO:0050839]; protein homodimerization activity [GO:0042803]; cell adhesion [GO:0007155]; spermatid development [GO:0007286]	LOC106568037
A0A1S3LR28	A0A1S3LR28_SALSA	plastin-3-like	GO:0005509; GO:0051015; GO:0051017	actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; actin filament bundle assembly [GO:0051017]	LOC106567809
B5XC26	B5XC26_SALSA	Ras-related GTP-binding protein A (ras-related GTP-binding protein A isoform X1)	GO:0005525	GTP binding [GO:0005525]	RRAGA rraga
B5X669	B5X669_SALSA	Charged multivesicular body protein 1b			CHM1B chm1b
B9EMG2	B9EMG2_SALSA	Charged multivesicular body protein 1b (charged multivesicular body protein 1b isoform X1)	GO:0007034	vacuolar transport [GO:0007034]	CHM1B chm1b
A0A1S3LPW8	A0A1S3LPW8_SALSA	uncharacterized protein LOC106567807 isoform X2	GO:1990817	RNA adenylyltransferase activity [GO:1990817]	LOC106567807
A0A1S3LQ21	A0A1S3LQ21_SALSA	uncharacterized protein LOC106567807 isoform X1	GO:1990817	RNA adenylyltransferase activity [GO:1990817]	LOC106567807
B5X7Q2	B5X7Q2_SALSA	RING finger protein 133 precursor			RN133 rn133
A0A1S3LPM5	A0A1S3LPM5_SALSA	A-kinase anchor protein 1, mitochondrial-like	GO:0003723; GO:0005739; GO:0010738; GO:0016021; GO:0016301; GO:0034237	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; kinase activity [GO:0016301]; protein kinase A regulatory subunit binding [GO:0034237]; RNA binding [GO:0003723]; regulation of protein kinase A signaling [GO:0010738]	LOC106567763
A0A1S3LRV8	A0A1S3LRV8_SALSA	unconventional myosin-XVIIIa-like	GO:0003774; GO:0005524; GO:0016459; GO:0051015	myosin complex [GO:0016459]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; motor activity [GO:0003774]	LOC106568078
